,symbol,date,open,close,volume,high,low,split,dividend
295,MSFT,2018-10-26T00:00:00+0000,105.69,106.96,55523104.0,108.75,104.76,1.0,0.0
296,MSFT,2018-10-25T00:00:00+0000,106.55,108.3,61646819.0,109.27,106.15,1.0,0.0
297,MSFT,2018-10-24T00:00:00+0000,108.41,102.32,63897759.0,108.49,101.5901,1.0,0.0
298,MSFT,2018-10-23T00:00:00+0000,107.77,108.1,43770429.0,108.97,105.11,1.0,0.0
299,MSFT,2018-10-22T00:00:00+0000,109.32,109.63,26545607.0,110.54,108.24,1.0,0.0
300,MSFT,2018-10-19T00:00:00+0000,108.93,108.66,32785475.0,110.86,108.21,1.0,0.0
301,MSFT,2018-10-18T00:00:00+0000,110.1,108.5,32506192.0,110.53,107.83,1.0,0.0
302,MSFT,2018-10-17T00:00:00+0000,111.68,110.71,26548243.0,111.81,109.5482,1.0,0.0
303,MSFT,2018-10-16T00:00:00+0000,109.54,111.0,31610164.0,111.41,108.95,1.0,0.0
304,MSFT,2018-10-15T00:00:00+0000,108.91,107.6,32068103.0,109.48,106.9468,1.0,0.0
305,MSFT,2018-10-12T00:00:00+0000,109.01,109.57,47742109.0,111.24,107.12,1.0,0.0
306,MSFT,2018-10-11T00:00:00+0000,105.35,105.91,63904282.0,108.93,104.2,1.0,0.0
307,MSFT,2018-10-10T00:00:00+0000,111.24,106.16,61376300.0,111.5,105.79,1.0,0.0
308,MSFT,2018-10-09T00:00:00+0000,111.14,112.26,26198594.0,113.08,110.8,1.0,0.0
309,MSFT,2018-10-08T00:00:00+0000,111.66,110.85,29640588.0,112.03,109.34,1.0,0.0
310,MSFT,2018-10-05T00:00:00+0000,112.63,112.13,29068859.0,113.17,110.64,1.0,0.0
311,MSFT,2018-10-04T00:00:00+0000,114.61,112.79,34821717.0,114.7588,111.63,1.0,0.0
312,MSFT,2018-10-03T00:00:00+0000,115.42,115.17,16648018.0,116.18,114.93,1.0,0.0
313,MSFT,2018-10-02T00:00:00+0000,115.3,115.15,20787239.0,115.84,114.44,1.0,0.0
314,MSFT,2018-10-01T00:00:00+0000,114.75,115.61,18883079.0,115.68,114.73,1.0,0.0
315,MSFT,2018-09-28T00:00:00+0000,114.19,114.37,21647811.0,114.57,113.68,1.0,0.0
316,MSFT,2018-09-27T00:00:00+0000,114.78,114.41,19091299.0,114.91,114.2,1.0,0.0
317,MSFT,2018-09-26T00:00:00+0000,114.47,113.98,19352025.0,115.055,113.74,1.0,0.0
318,MSFT,2018-09-25T00:00:00+0000,114.8,114.45,22668014.0,115.1,113.75,1.0,0.0
319,MSFT,2018-09-24T00:00:00+0000,113.03,114.67,27334460.0,114.9,112.2175,1.0,0.0
320,MSFT,2018-09-21T00:00:00+0000,114.0,114.26,71229698.0,115.29,113.51,1.0,0.0
321,MSFT,2018-09-20T00:00:00+0000,112.28,113.57,23714512.0,113.8,111.93,1.0,0.0
322,MSFT,2018-09-19T00:00:00+0000,113.05,111.7,21728429.0,113.32,111.035,1.0,0.0
323,MSFT,2018-09-18T00:00:00+0000,112.19,113.21,22170934.0,113.695,111.72,1.0,0.0
324,MSFT,2018-09-17T00:00:00+0000,113.69,112.14,20736516.0,113.7,111.86,1.0,0.0
325,MSFT,2018-09-14T00:00:00+0000,113.36,113.37,19122349.0,113.73,112.44,1.0,0.0
326,MSFT,2018-09-13T00:00:00+0000,112.12,112.91,26055620.0,113.725,112.12,1.0,0.0
327,MSFT,2018-09-12T00:00:00+0000,111.43,111.71,18891064.0,111.85,110.51,1.0,0.0
328,MSFT,2018-09-11T00:00:00+0000,108.9,111.24,24301774.0,111.59,108.89,1.0,0.0
329,MSFT,2018-09-10T00:00:00+0000,108.84,109.38,20727906.0,109.64,108.36,1.0,0.0
330,MSFT,2018-09-07T00:00:00+0000,108.23,108.21,22498646.0,108.7248,107.23,1.0,0.0
331,MSFT,2018-09-06T00:00:00+0000,108.25,108.74,23477624.0,108.99,107.51,1.0,0.0
332,MSFT,2018-09-05T00:00:00+0000,111.01,108.49,32872352.0,111.42,108.1,1.0,0.0
333,MSFT,2018-09-04T00:00:00+0000,110.85,111.71,22634641.0,111.955,110.22,1.0,0.0
334,MSFT,2018-08-31T00:00:00+0000,111.685,112.33,23222713.0,112.777,111.515,1.0,0.0
335,MSFT,2018-08-30T00:00:00+0000,111.67,111.95,22798702.0,112.61,111.44,1.0,0.0
336,MSFT,2018-08-29T00:00:00+0000,110.45,112.02,20818044.0,112.03,110.27,1.0,0.0
337,MSFT,2018-08-28T00:00:00+0000,109.94,110.26,19151528.0,110.5,109.79,1.0,0.0
338,MSFT,2018-08-27T00:00:00+0000,109.27,109.6,19662331.0,109.64,108.51,1.0,0.0
339,MSFT,2018-08-24T00:00:00+0000,107.67,108.4,17234020.0,108.56,107.56,1.0,0.0
340,MSFT,2018-08-23T00:00:00+0000,107.15,107.56,18167723.0,108.18,106.87,1.0,0.0
341,MSFT,2018-08-22T00:00:00+0000,105.85,107.06,18000639.0,107.34,105.78,1.0,0.0
342,MSFT,2018-08-21T00:00:00+0000,106.92,105.98,22881861.0,107.35,105.85,1.0,0.0
343,MSFT,2018-08-20T00:00:00+0000,107.51,106.87,17914201.0,107.9,106.48,1.0,0.0
344,MSFT,2018-08-17T00:00:00+0000,107.36,107.58,18061512.0,107.9,106.69,1.0,0.0
345,MSFT,2018-08-16T00:00:00+0000,108.3,107.64,21384289.0,108.86,107.3,1.0,0.0
346,MSFT,2018-08-15T00:00:00+0000,108.49,107.66,29982806.0,108.985,106.82,1.0,0.42
347,MSFT,2018-08-14T00:00:00+0000,108.56,109.56,16788314.0,109.75,108.04,1.0,0.0
348,MSFT,2018-08-13T00:00:00+0000,109.24,108.21,18474884.0,109.58,108.1,1.0,0.0
349,MSFT,2018-08-10T00:00:00+0000,109.42,109.0,18183724.0,109.69,108.38,1.0,0.0
350,MSFT,2018-08-09T00:00:00+0000,109.71,109.67,13677211.0,110.16,109.6,1.0,0.0
